Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,1035.099976,1050.699951,1033.260010,1036.699951,1020.996338,22300
2018-06-12,1036.979980,1049.910034,1028.280029,1045.000000,1029.170410,40700
2018-06-13,1042.000000,1059.000000,1038.739990,1040.520020,1024.758789,30200
2018-06-14,1042.010010,1060.390015,1040.119995,1049.989990,1035.377808,29000
2018-06-15,1048.869995,1061.130005,1042.469971,1054.079956,1039.410400,118600
2018-06-18,1055.729980,1073.900024,1048.750000,1058.869995,1044.134033,52900
2018-06-19,1055.530029,1057.319946,1027.000000,1032.489990,1018.121216,37100
2018-06-20,1038.510010,1064.170044,1038.510010,1056.089966,1041.392822,46600
2018-06-21,1064.520020,1075.680054,1050.979980,1050.979980,1036.353638,63400
2018-06-22,1054.270020,1056.989990,1042.709961,1049.949951,1035.338135,36600
2018-06-25,1046.060059,1046.060059,1019.700012,1027.189941,1012.894836,72000
2018-06-26,1031.430054,1039.060059,1025.160034,1027.069946,1012.776367,62000
2018-06-27,1025.689941,1030.280029,1014.679993,1021.789978,1007.570007,44200
2018-06-28,1018.809998,1031.630005,1013.349976,1014.190002,1000.075745,42500
2018-06-29,1018.250000,1033.369995,1011.609985,1019.549988,1005.361145,51400
2018-07-03,1022.109985,1024.619995,1007.770020,1021.469971,1007.254517,40800
2018-07-04,1020.409973,1022.299988,1010.900024,1010.900024,996.831604,5700
2018-07-05,1011.250000,1022.070007,1009.169983,1022.000000,1007.777100,21000
2018-07-06,1022.119995,1041.079956,1018.179993,1036.479980,1022.055664,28600
2018-07-09,1039.550049,1062.229980,1039.550049,1055.500000,1040.811035,27200
2018-07-10,1061.209961,1086.709961,1061.209961,1077.489990,1062.494751,53500
2018-07-11,1071.979980,1073.339966,1058.209961,1060.530029,1045.770996,55900
2018-07-12,1065.180054,1111.989990,1065.180054,1109.619995,1094.177856,41100
2018-07-13,1119.939941,1119.939941,1083.060059,1095.000000,1079.761230,46200
2018-07-16,1095.010010,1095.010010,1079.810059,1086.540039,1071.418945,52800
