Date,Open,High,Low,Close,Adj Close,Volume
2022-06-09,131.759995,132.429993,130.839996,130.929993,125.750816,1345200
2022-06-10,129.479996,129.699997,127.820000,128.550003,123.464989,2035300
2022-06-13,126.419998,127.309998,126.010002,126.680000,121.668945,2796800
2022-06-14,127.000000,127.300003,125.059998,126.010002,121.025452,2545700
2022-06-15,126.440002,127.739998,125.370003,126.580002,121.572899,5859300
2022-06-16,125.000000,125.449997,123.300003,124.769997,119.834496,2379700
2022-06-17,124.870003,125.879997,124.029999,124.529999,119.603989,6651700
2022-06-20,125.290001,126.260002,124.769997,125.970001,120.987038,843200
2022-06-21,126.410004,126.989998,126.010002,126.379997,121.380806,2865000
2022-06-22,125.000000,126.000000,124.540001,125.230003,120.276306,2669300
2022-06-23,125.010002,125.290001,122.360001,123.349998,118.470673,3513900
2022-06-24,124.000000,124.910004,123.559998,124.339996,119.421509,2823600
2022-06-27,124.949997,125.519997,124.050003,124.769997,119.834496,4625300
2022-06-28,125.550003,126.910004,124.750000,125.339996,120.381950,3734500
2022-06-29,125.339996,126.629997,125.129997,126.040001,121.054268,2194000
2022-06-30,124.500000,124.910004,123.330002,124.639999,119.709648,2576600
2022-07-04,124.940002,126.639999,124.839996,125.690002,120.718117,1111200
2022-07-05,124.839996,125.629997,123.209999,124.870003,119.930550,3751000
2022-07-06,124.690002,125.669998,124.250000,125.540001,120.574043,2721400
2022-07-07,126.089996,128.259995,126.040001,127.480003,122.437302,3697700
2022-07-08,127.550003,128.369995,127.110001,127.559998,122.514137,3725700
2022-07-11,126.980003,127.540001,126.580002,127.370003,122.331665,5152600
2022-07-12,126.919998,128.759995,126.500000,127.669998,122.619789,4373000
2022-07-13,126.870003,127.269997,124.709999,126.349998,121.351997,3009500
2022-07-14,125.250000,125.580002,119.199997,119.239998,114.523247,8553800
2022-07-15,120.160004,120.550003,118.239998,118.629997,113.937378,5066400
2022-07-18,119.769997,122.129997,119.599998,120.800003,116.021538,5602100
2022-07-19,122.050003,123.720001,121.550003,123.279999,118.403442,5901800
2022-07-20,123.330002,123.910004,122.510002,123.699997,118.806824,4032800
2022-07-21,124.080002,124.440002,122.930000,124.080002,119.171799,9400300
2022-07-22,123.889999,124.669998,123.190002,123.620003,118.729988,9930500
2022-07-25,123.000000,123.940002,122.550003,123.099998,119.467567,6288700
2022-07-26,122.190002,123.470001,121.430000,121.849998,118.254448,7420400
2022-07-27,122.160004,123.330002,121.730003,122.650002,119.030838,4460700
2022-07-28,123.099998,124.000000,121.830002,123.750000,120.098389,4712200
2022-07-29,123.930000,125.680000,123.930000,124.860001,121.175636,4168800
2022-08-02,123.480003,124.930000,123.480003,124.230003,120.564224,5088100
2022-08-03,124.739998,126.940002,124.629997,126.269997,122.544029,3685000
2022-08-04,126.330002,126.529999,125.540001,126.440002,122.709015,6142800
2022-08-05,126.500000,126.760002,125.790001,126.470001,122.738121,2592900
